CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL6328,SI-07,INVENTARIO,INVENTARIO,2
CL63339,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6345,SI-07,IMPLEMENTACION,INSTALACION,1
CL6345,SI-07,INVENTARIO,INVENTARIO,1
CL6347,SI-07,IMPLEMENTACION,INSTALACION,1
CL63552,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6359,SI-07,INVENTARIO,INVENTARIO,1
CL6359,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6361,SI-07,INVENTARIO,INVENTARIO,1
CL63662,SI-07,PROGRAMACION,REEMPLAZAR,2
CL6376,SI-07,IMPLEMENTACION,REEMPLAZAR,2
CL6376,SI-07,INVENTARIO,INVENTARIO,1
CL6376,SI-07,PROGRAMACION,REEMPLAZAR,1
CL63846,SI-07,INVENTARIO,INVENTARIO,1
CL6389,SI-07,INVENTARIO,INVENTARIO,1
CL63892,SI-07,INVENTARIO,INVENTARIO,1
CL6391,SI-07,INVENTARIO,INVENTARIO,1
CL6423,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6438,SI-07,INVENTARIO,INVENTARIO,1
CL6456,SI-07,INVENTARIO,INVENTARIO,1
CL6469,SI-07,PROGRAMACION,RETIRAR,1
CL6470,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6474,SI-07,INVENTARIO,INVENTARIO,1
CL6480,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6480,SI-07A,PROGRAMACION,REEMPLAZAR,1
CL6482,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6486,SI-07,INVENTARIO,INVENTARIO,1
CL6502,SI-07,PROGRAMACION,RETIRAR,1
CL6504,SI-07,INVENTARIO,INVENTARIO,1
CL6518,SI-07,INVENTARIO,INVENTARIO,1
CL6546,SI-07,IMPLEMENTACION,INSTALACION,2
CL6565,SI-07,INVENTARIO,INVENTARIO,1
CL6565,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6571,SI-07,INVENTARIO,INVENTARIO,2
CL6591,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6591,SI-07,PROGRAMACION,RETIRAR,1
CL6609,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6641,SI-07,PROGRAMACION,RETIRAR,1
CL6649,SI-07,PROGRAMACION,REEMPLAZAR,1
CL66492,SI-07,PROGRAMACION,REEMPLAZAR,1
CL66587,SI-07,PROGRAMACION,REEMPLAZAR,1
CL66865,SI-07,IMPLEMENTACION,INSTALACION,1
CL6700,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6710,SI-07,IMPLEMENTACION,INSTALACION,1
CL6718,SI-07,INVENTARIO,INVENTARIO,1
CL6718,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6718,SI-07,PROGRAMACION,RETIRAR,1
CL6719,SI-07,INVENTARIO,INVENTARIO,1
CL6719,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6721,SI-07,INVENTARIO,INVENTARIO,1
CL6721,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6721,SI-07,PROGRAMACION,RETIRAR,1
CL67312,SI-07,INVENTARIO,INVENTARIO,1
CL67330,SI-07,INVENTARIO,INVENTARIO,1
CL6749,SI-07,INVENTARIO,INVENTARIO,1
CL6749,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6758,SI-07,INVENTARIO,INVENTARIO,2
CL6760,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6790,SI-07,INVENTARIO,INVENTARIO,1
CL6795,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL68153,SI-07,PROGRAMACION,REEMPLAZAR,1
CL68271,SI-07,PROGRAMACION,REEMPLAZAR,1
CL68366,SI-07,INVENTARIO,INVENTARIO,1
CL6850,SI-07,IMPLEMENTACION,INSTALACION,1
CL6850,SI-07,INVENTARIO,INVENTARIO,1
CL6850,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6867,SI-07,IMPLEMENTACION,INSTALACION,1
CL6867,SI-07,PROGRAMACION,REEMPLAZAR,1
CL68677,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL6868,SI-07,IMPLEMENTACION,INSTALACION,1
CL6885,SI-07,INVENTARIO,INVENTARIO,1
CL6885,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6900,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL69111,SI-07,IMPLEMENTACION,INSTALACION,1
CL69111,SI-07,PROGRAMACION,REEMPLAZAR,1
CL69154,SI-07,INVENTARIO,INVENTARIO,2
CL6918,SI-07,IMPLEMENTACION,INSTALACION,1
CL69273,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6941,SI-07,IMPLEMENTACION,INSTALACION,1
CL6941,SI-07,INVENTARIO,INVENTARIO,1
CL6960,SI-07,IMPLEMENTACION,INSTALACION,1
CL6961,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6962,SI-07,INVENTARIO,INVENTARIO,1
CL6962,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6962,SI-07,PROGRAMACION,RETIRAR,2
CL6969,SI-07,IMPLEMENTACION,INSTALACION,1
CL6969,SI-07,PROGRAMACION,RETIRAR,1
CL6977,SI-07,INVENTARIO,INVENTARIO,1
CL6984,SI-07,IMPLEMENTACION,INSTALACION,1
CL6992,SI-07,IMPLEMENTACION,INSTALACION,1
CL6992,SI-07,PROGRAMACION,RETIRAR,1
CL6993,SI-07,IMPLEMENTACION,INSTALACION,1
CL6993,SI-07,INVENTARIO,INVENTARIO,1
CL70015,SI-07,IMPLEMENTACION,INSTALACION,1
CL7059,SI-07,PROGRAMACION,RETIRAR,1
CL70827,SI-07,PROGRAMACION,REEMPLAZAR,1
CL7114,SI-07,INVENTARIO,INVENTARIO,1
CL7114,SI-07,PROGRAMACION,REEMPLAZAR,1
CL7142,SI-07,IMPLEMENTACION,INSTALACION,1
CL71465,SI-07,INVENTARIO,INVENTARIO,1
CL71474,SI-07,IMPLEMENTACION,INSTALACION,1
CL71759,SI-07,IMPLEMENTACION,INSTALACION,1
CL71849,SI-07,PROGRAMACION,REEMPLAZAR,1
CL71868,SI-07,PROGRAMACION,RETIRAR,1
CL71869,SI-07,PROGRAMACION,RETIRAR,1
CL71940,SI-07,INVENTARIO,INVENTARIO,1
CL72004,SI-07,INVENTARIO,INVENTARIO,1
CL7204,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL72040,SI-07,PROGRAMACION,REEMPLAZAR,1
CL72141,SI-07,PROGRAMACION,RETIRAR,1
CL7217,SI-07,INVENTARIO,INVENTARIO,1
CL7217,SI-07,PROGRAMACION,REEMPLAZAR,1
CL72176,SI-07,IMPLEMENTACION,INSTALACION,1
CL72176,SI-07,INVENTARIO,INVENTARIO,1
CL72176,SI-07,PROGRAMACION,REEMPLAZAR,1
CL7218,SI-07,INVENTARIO,INVENTARIO,1
CL72440,SI-07,INVENTARIO,INVENTARIO,1
CL72570,SI-07,PROGRAMACION,RETIRAR,1
CL72653,SI-07,IMPLEMENTACION,INSTALACION,1
CL72658,SI-07,PROGRAMACION,RETIRAR,1
CL72839,SI-07,IMPLEMENTACION,INSTALACION,1
CL72894,SI-07,PROGRAMACION,REEMPLAZAR,1
CL72897,SI-07,PROGRAMACION,REEMPLAZAR,1
CL72969,SI-07,PROGRAMACION,RETIRAR,1
CL73093,SI-07,PROGRAMACION,RETIRAR,1
CL73198,SI-07,INVENTARIO,INVENTARIO,1
CL73257,SI-07,INVENTARIO,INVENTARIO,1
CL73318,SI-07,INVENTARIO,INVENTARIO,1
CL73377,SI-07,INVENTARIO,INVENTARIO,1
