CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL1409,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1413,SP-46,IMPLEMENTACION,INSTALACION,1
CL1413,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL14173,SP-46B,INVENTARIO,INVENTARIO,1
CL14257,SP-46,IMPLEMENTACION,INSTALACION,1
CL14364,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14398,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14415,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL14437,SP-46,IMPLEMENTACION,INSTALACION,1
CL14437,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14468,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1447,SP-46,INVENTARIO,INVENTARIO,1
CL1447,SP-46,PROGRAMACION,REEMPLAZAR,1
CL14547,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14628,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14691,SP-46,IMPLEMENTACION,INSTALACION,1
CL14725,SI-24,PROGRAMACION,RETIRAR,1
CL1473,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL14749,SP-46/SR-30,IMPLEMENTACION,INSTALACION,2
CL14776,SP-46/SR-30,IMPLEMENTACION,INSTALACION,2
CL14845,SP-46,IMPLEMENTACION,INSTALACION,1
CL14904,SP-46,PROGRAMACION,RETIRAR,1
CL14952,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL14963,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL14972,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL14982,SP-46/SR-30,PROGRAMACION,RETIRAR,2
CL14983,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL14985,SP-46,PROGRAMACION,RETIRAR,1
CL1499,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL14994,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL1506,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15157,SP-46,IMPLEMENTACION,INSTALACION,1
CL15179,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL15183,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL15240,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL1525,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL15262,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15295,SP-46,PROGRAMACION,MANTENIMIENTO,1
CL15295,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15310,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL15367,SP-46/SR-01,PROGRAMACION,RETIRAR,1
CL15396,SP-46/SR-28,INVENTARIO,INVENTARIO,1
CL15415,SP-46A,IMPLEMENTACION,INSTALACION,1
CL15437,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1560,SP-46,IMPLEMENTACION,INSTALACION,2
CL1561,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1564,SP-46,INVENTARIO,INVENTARIO,1
CL15770,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL15770,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL15795,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL15823,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL15849,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL15902,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15916,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15993,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL15993,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL15993,SP-46/SR-30,PROGRAMACION,REUBICAR,1
CL16010,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL16042,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL16085,SP-46/SR-30,PROGRAMACION,RETIRAR,1
