feature,total,zero,median,mean,sd,IQR,min,max,road_type
crosswalk,17747,7852,9.864732081197242e-4,0.0033710437502926342,0.006047748750043427,0.0044340390314123145,0,0.13669629718109347,collector
lane_bike,17747,16433,0,1.452031241720922e-4,9.748248641292139e-4,0,0,0.08030572088303466,collector
lane_bus,17747,17479,0,2.192891975592761e-5,3.0918443440367416e-4,0,0,0.015259362206994448,collector
lane_marking,17747,6519,0.0022300126973031293,0.005016261584088803,0.007705294242522422,0.007034512308798765,0,0.11264435663058979,collector
median,17747,12546,0,0.0015962417911595935,0.005775896925235203,0.0010160102631562409,0,0.4818343252982079,collector
median_barrier,17747,17536,0,2.215277912420018e-5,3.22752505836348e-4,0,0,0.018365153134580044,collector
sidewalk,17747,28,0.020907092905866145,0.028183185602205393,0.0267132481526032,0.022321847803049927,0,0.5362379048639846,collector
sidewalk_obstruction,17747,479,0.019455987196404942,0.03506459318017049,0.05019427979958,0.03565735036977391,0,1.4053501154531063,collector
sign_crossing,17747,11642,0,8.756690008101394e-4,0.002120314251363357,9.82783793476454e-4,0,0.04448149992876907,collector
sign_school_zone,17747,10438,0,0.0013039266264114537,0.0027506016571972147,0.0016597923703825573,0,0.06250508886235746,collector
sign_stop,17747,10686,0,0.0011034062969862484,0.002297486282580367,0.0014642136440714726,0,0.049193691520638454,collector
sign_traffic,17747,944,0.010256092650124778,0.01577900533843922,0.01897039979598843,0.01556621896395342,0,0.5219871857397252,collector
sign_yield,17747,16795,0,8.20862191839686e-5,7.985460826099014e-4,0,0,0.08030572088303466,collector
speed_bump,17747,10622,0,0.006111541501279247,0.016437070598662777,0.004348728282932565,0,0.39048778269749357,collector
traffic_light,17747,13186,0,0.002175587510583079,0.006424796766464649,3.7728494404884287e-4,0,0.11547172100925412,collector
trees,17747,3120,0.013014125701531232,0.025612828318745083,0.03707703175858287,0.032723703696549894,0,1.1644329528040025,collector
brt_station,35958,35691,0,2.083317940071148e-5,3.746691703960594e-4,0,0,0.023246964253224738,local
bus_stop,35958,32439,0,3.019716878208268e-4,0.001681466762535462,0,0,0.08988136472563515,local
crosswalk,35958,21792,0,0.002300639738029626,0.0050646302366366275,0.002692048102954548,0,0.129549203875846,local
lane_bike,35958,35079,0,6.872743913140456e-5,7.590570598825204e-4,0,0,0.0422036298515587,local
lane_bus,35958,35795,0,9.787689293117331e-6,2.1714099136420841e-4,0,0,0.015360057661537545,local
lane_marking,35958,20745,0,0.0030821700876452326,0.006633855710559041,0.004049022481855573,0,0.2562756323187757,local
median,35958,30474,0,8.252057075906692e-4,0.003852718395267328,0,0,0.19717275836940495,local
median_barrier,35958,35775,0,1.3461204896321103e-5,2.976661963297096e-4,0,0,0.01848560529329387,local
sidewalk,35958,357,0.022358363354732007,0.03074682953172664,0.031299626013152726,0.024628049289173885,0,1.028191610802736,local
sidewalk_obstruction,35958,1840,0.014620703037318184,0.02650374511946439,0.03923115750687627,0.025862463123153302,0,1.1167193981722825,local
sign_crossing,35958,29917,0,4.0891688190720536e-4,0.0014971616929835153,0,0,0.047667411609865006,local
sign_school_zone,35958,27259,0,7.567690283544168e-4,0.0021191551105413887,0,0,0.06406786984243774,local
sign_stop,35958,15756,0.0010000458532385928,0.0022676169565169872,0.0037493500554357994,0.0032269755989373697,0,0.11221577246191258,local
sign_traffic,35958,8527,0.004899094156690665,0.009274580350915454,0.014422113238158125,0.011197055982027224,0,0.472712507369678,local
sign_yield,35958,35345,0,2.8345862672963813e-5,3.222968331933557e-4,0,0,0.019352402567127298,local
speed_bump,35958,26271,0,0.003617821094400597,0.012367257842379588,8.948673952601078e-4,0,0.4460808168136398,local
traffic_light,35958,33799,0,3.6908248601543424e-4,0.003062700753463954,0,0,0.16162225491106194,local
trees,35958,10943,0.006698248299883582,0.019903265108292257,0.03548824310973241,0.025728808525958918,0,0.9142283839564436,local
brt_station,1702,1644,0,6.495663931956688e-5,5.673281457757032e-4,0,0,0.012637816506182904,other
bus_stop,1702,1307,0,0.0010108296040689004,0.005095460289509458,0,0,0.14542222569591842,other
crosswalk,1702,1155,0,0.002168892869287524,0.007223601988295716,0.0013336483702221984,0,0.13071122046242606,other
lane_bike,1702,1481,0,3.1651129356623133e-4,0.0015864614000949287,0,0,0.03176587952415794,other
lane_bus,1702,1631,0,8.219026212082602e-5,6.655885955966208e-4,0,0,0.015101049004148107,other
lane_marking,1702,994,0,0.004459595447228347,0.011524294457511198,0.004764587483659868,0,0.21785203410404344,other
median,1702,1166,0,0.002324514110322192,0.008418563343173757,0.0013973227929572915,0,0.18432482890806645,other
median_barrier,1702,1638,0,7.09537176420737e-5,8.055775476080002e-4,0,0,0.029161491130925313,other
sidewalk,1702,64,0.019972362761660447,0.034618711534663595,0.04760245812542078,0.03186217056301823,0,0.6786370532476192,other
sidewalk_obstruction,1702,188,0.012286877261994868,0.031640773865587946,0.06294058779190934,0.02996833511516611,0,0.9210074294074833,other
sign_crossing,1702,1317,0,6.591766097316469e-4,0.002421289688336784,0,0,0.035056233936415514,other
sign_school_zone,1702,1407,0,6.819944736988698e-4,0.002816268172146346,0,0,0.04357040682080869,other
sign_stop,1702,1144,0,0.0014378311966057994,0.004294834537520256,9.80099730418509e-4,0,0.07207671819641694,other
sign_traffic,1702,514,0.004211442303970038,0.011977089907384025,0.026758083946333507,0.012373856329742564,0,0.43626667708775524,other
sign_yield,1702,1532,0,1.3624705693821427e-4,6.633818562736326e-4,0,0,0.010867539444841682,other
speed_bump,1702,1326,0,0.0033909630551799035,0.016201556595530558,0,0,0.2959117738445093,other
traffic_light,1702,1419,0,0.0016699342540949548,0.007234415866177801,0,0,0.14637559942699396,other
trees,1702,299,0.020926554433941605,0.04038313287391916,0.07252010129520846,0.04467102636561724,0,1.5401185176308607,other
